a4_strict_row_share,agreement,event_key,lex_gain_vs_hard,lex_veto,overlap_group,qa_bench_direct_early_score_mean,qa_bench_evasion_score_mean,qa_pair_count,sem_gain_vs_hard,sem_veto,ticker,year
0.6983,1,AAPL_2023_Q4,0.0,0,sem_only_veto,0.479219,0.283951,10.0,3.4316276621842726e-09,1,AAPL,2023
0.7394,1,AMZN_2024_Q1,1.1779474439421387e-09,1,shared_veto,0.56596,0.263573,5.0,1.1779474439421387e-09,1,AMZN,2024
0.729,1,AMZN_2024_Q3,0.0,0,sem_only_veto,0.965444,0.14681,6.0,2.017733287063021e-09,1,AMZN,2024
0.6201,1,CSCO_2024_Q3,0.0,1,lex_only_veto,0.823098,0.181339,8.0,0.0,0,CSCO,2024
0.7321,1,DIS_2023_Q2,0.0,0,sem_only_veto,0.964567,0.173091,5.0,-6.051595345129582e-10,1,DIS,2023
0.7508,1,DIS_2023_Q3,0.0,0,sem_only_veto,0.519583,0.285468,7.0,-3.2047273467673814e-10,1,DIS,2023
0.7147,1,DIS_2023_Q4,0.0,0,sem_only_veto,0.772266,0.209458,5.0,-6.883439665203772e-11,1,DIS,2023
0.7117,1,IBM_2023_Q2,9.751846654591493e-11,1,shared_veto,0.970705,0.14985,4.0,9.751846654591493e-11,1,IBM,2023
0.7094,1,IBM_2023_Q4,-7.3115456970864e-10,1,lex_only_veto,0.607377,0.238013,5.0,0.0,0,IBM,2023
0.7321,1,IBM_2024_Q2,0.0,0,sem_only_veto,0.744988,0.201119,4.0,1.4527045736471123e-10,1,IBM,2024
0.664,1,MSFT_2024_Q2,0.0,1,lex_only_veto,0.575285,0.338303,5.0,0.0,0,MSFT,2024
0.6967,1,MSFT_2024_Q3,1.2717259236078476e-10,1,shared_veto,0.942352,0.209515,4.0,1.2717259236078476e-10,1,MSFT,2024
0.7275,1,MSFT_2025_Q1,0.0,0,sem_only_veto,0.800345,0.216063,6.0,2.7073998987791403e-10,1,MSFT,2025
0.7193,1,NKE_2023_Q1,1.022105948255233e-09,1,shared_veto,0.776937,0.25837,5.0,1.022105948255233e-09,1,NKE,2023
0.7516,1,NKE_2023_Q2,0.0,0,sem_only_veto,0.952429,0.149398,6.0,-1.610800735440463e-10,1,NKE,2023
0.677,1,NVDA_2023_Q1,0.0,0,sem_only_veto,0.827639,0.173604,7.0,2.649502887187864e-09,1,NVDA,2023
